order_item_id,order_id,product_id,quantity,unit_price
1,1,21,3,1299.00
2,1,8,2,2499.00
3,1,20,3,399.00
4,2,13,3,799.00
5,2,27,2,699.00
6,3,20,2,399.00
7,4,29,3,1299.00
8,4,14,1,699.00
9,4,31,2,299.00
10,4,11,3,1499.00
11,5,15,1,1799.00
12,5,13,1,799.00
13,5,10,1,899.00
14,6,25,2,399.00
15,6,32,1,399.00
16,7,30,3,549.00
17,7,4,1,999.00
18,8,29,3,1299.00
19,8,28,2,1899.00
20,8,11,2,1499.00
21,9,16,3,4999.00
22,9,18,2,899.00
23,9,29,1,1299.00
24,9,5,2,1299.00
25,10,15,3,1799.00
26,10,25,1,399.00
27,11,30,1,549.00
28,11,27,2,699.00
29,11,4,2,999.00
30,12,23,2,1999.00
31,13,32,2,399.00
32,13,15,2,1799.00
33,14,30,3,549.00
34,14,9,3,499.00
35,15,28,1,1899.00
36,16,14,2,699.00
37,16,30,2,549.00
38,16,21,2,1299.00
39,17,23,1,1999.00
40,18,2,1,2999.00
41,18,10,1,899.00
42,19,24,1,349.00
43,19,11,2,1499.00
44,19,8,1,2499.00
45,20,13,3,799.00
46,20,5,2,1299.00
47,20,16,3,4999.00
48,20,7,3,599.00
49,21,24,2,349.00
50,21,5,2,1299.00
51,21,22,1,1599.00
52,21,1,2,1499.00
53,22,28,3,1899.00
54,22,12,3,2499.00
55,23,18,2,899.00
56,23,21,2,1299.00
57,23,16,1,4999.00
58,23,6,2,899.00
59,24,21,2,1299.00
60,24,12,2,2499.00
61,24,32,2,399.00
62,24,14,2,699.00
63,25,6,3,899.00
64,25,16,2,4999.00
65,26,32,2,399.00
66,26,29,1,1299.00
67,26,2,2,2999.00
68,26,6,3,899.00
69,27,28,3,1899.00
70,27,22,2,1599.00
71,27,23,2,1999.00
72,28,8,1,2499.00
73,28,12,3,2499.00
74,28,13,2,799.00
75,29,13,2,799.00
76,30,18,1,899.00
77,30,3,3,1999.00
78,31,31,1,299.00
79,31,29,1,1299.00
80,31,22,2,1599.00
81,32,4,1,999.00
82,33,27,3,699.00
83,34,29,3,1299.00
84,34,20,3,399.00
85,34,28,1,1899.00
86,34,4,1,999.00
87,35,16,3,4999.00
88,35,12,1,2499.00
89,36,19,1,599.00
90,36,3,3,1999.00
91,36,15,1,1799.00
92,36,30,2,549.00
93,37,10,1,899.00
94,37,18,1,899.00
95,38,29,3,1299.00
96,38,8,2,2499.00
97,38,30,3,549.00
98,39,6,3,899.00
99,39,3,2,1999.00
100,39,28,1,1899.00
101,39,21,1,1299.00
102,40,12,2,2499.00
103,41,32,2,399.00
104,41,6,2,899.00
105,41,31,2,299.00
106,41,23,3,1999.00
107,42,26,1,599.00
108,42,3,2,1999.00
109,42,30,2,549.00
110,43,27,3,699.00
111,43,4,2,999.00
112,43,13,3,799.00
113,43,24,2,349.00
114,44,29,1,1299.00
115,44,32,3,399.00
116,44,8,3,2499.00
117,45,6,1,899.00
118,45,15,3,1799.00
119,45,8,1,2499.00
120,45,30,2,549.00
121,46,31,2,299.00
122,46,16,1,4999.00
123,46,30,3,549.00
124,46,10,3,899.00
125,47,18,3,899.00
126,47,1,2,1499.00
127,47,19,3,599.00
128,48,23,2,1999.00
129,48,22,1,1599.00
130,48,25,3,399.00
131,48,30,1,549.00
132,49,3,2,1999.00
133,49,21,3,1299.00
134,49,31,3,299.00
135,49,25,1,399.00
136,50,7,1,599.00
137,50,29,3,1299.00
138,50,30,1,549.00
139,51,26,3,599.00
140,51,6,3,899.00
141,51,22,2,1599.00
142,52,16,3,4999.00
143,53,7,2,599.00
144,54,19,2,599.00
145,55,12,3,2499.00
146,55,11,3,1499.00
147,55,6,1,899.00
148,55,25,2,399.00
149,56,17,3,1199.00
150,56,30,3,549.00
151,56,1,1,1499.00
152,56,19,1,599.00
153,57,30,2,549.00
154,57,20,2,399.00
155,57,13,1,799.00
156,58,19,2,599.00
157,58,2,1,2999.00
158,58,26,3,599.00
159,59,15,3,1799.00
160,59,13,3,799.00
161,59,17,3,1199.00
162,60,29,3,1299.00
163,60,3,1,1999.00
164,60,24,1,349.00
165,61,24,1,349.00
166,61,18,2,899.00
167,62,10,1,899.00
168,63,1,2,1499.00
169,63,17,3,1199.00
170,63,8,3,2499.00
171,63,30,3,549.00
172,64,15,2,1799.00
173,65,5,3,1299.00
174,65,30,2,549.00
175,66,20,2,399.00
176,67,30,2,549.00
177,67,24,3,349.00
178,67,27,1,699.00
179,67,10,2,899.00
180,68,29,2,1299.00
181,68,16,1,4999.00
182,69,26,2,599.00
183,70,4,2,999.00
184,71,14,2,699.00
185,71,15,1,1799.00
186,72,12,1,2499.00
187,72,8,1,2499.00
188,72,2,2,2999.00
189,73,4,3,999.00
190,73,9,1,499.00
191,73,27,3,699.00
192,74,29,3,1299.00
193,75,30,2,549.00
194,75,2,2,2999.00
195,75,4,2,999.00
196,76,6,2,899.00
197,77,25,3,399.00
