order_id,customer_id,order_date,order_status
1,94,2025-04-09,Completed
2,104,2025-08-23,Completed
3,146,2025-02-02,Completed
4,149,2025-07-08,Completed
5,86,2024-10-18,Completed
6,19,2025-04-22,Completed
7,28,2025-04-06,Completed
8,35,2025-04-26,Cancelled
9,67,2025-01-05,Completed
10,139,2024-10-12,Completed
11,17,2025-04-01,Completed
12,148,2025-03-14,Completed
13,138,2025-06-07,Returned
14,100,2025-02-20,Completed
15,145,2025-08-06,Completed
16,13,2025-01-12,Completed
17,21,2025-04-29,Completed
18,11,2024-09-16,Completed
19,145,2024-12-21,Completed
20,80,2025-06-22,Completed
21,11,2025-02-25,Cancelled
22,93,2025-07-23,Completed
23,138,2025-05-06,Completed
24,98,2025-02-20,Completed
25,143,2024-09-06,Cancelled
26,126,2025-06-12,Completed
27,149,2025-03-08,Completed
28,60,2024-11-01,Completed
29,135,2025-07-03,Completed
30,46,2025-02-02,Completed
31,126,2024-10-23,Completed
32,17,2025-03-25,Completed
33,78,2024-10-14,Completed
34,58,2025-05-26,Completed
35,68,2025-08-05,Completed
36,105,2025-04-19,Returned
37,51,2025-04-06,Completed
38,79,2025-07-02,Returned
39,129,2025-06-04,Completed
40,6,2025-08-11,Completed
41,72,2024-12-02,Returned
42,85,2025-03-30,Completed
43,104,2025-05-22,Completed
44,69,2025-06-09,Completed
45,80,2025-06-10,Completed
46,131,2025-08-28,Completed
47,18,2025-01-20,Completed
48,39,2025-04-17,Cancelled
49,147,2025-03-16,Completed
50,33,2025-05-16,Returned
51,20,2025-04-29,Completed
52,139,2024-09-19,Returned
53,59,2024-10-17,Completed
54,8,2024-09-24,Completed
55,38,2025-01-04,Cancelled
56,150,2024-11-13,Completed
57,77,2025-07-25,Completed
58,147,2025-03-03,Returned
59,128,2025-01-25,Completed
60,25,2025-07-19,Completed
61,107,2024-11-29,Completed
62,87,2024-10-29,Completed
63,143,2025-03-07,Completed
64,98,2025-07-24,Completed
65,144,2025-02-15,Returned
66,30,2024-11-11,Completed
67,61,2025-06-03,Completed
68,72,2024-09-17,Completed
69,140,2025-07-28,Completed
70,117,2024-10-17,Completed
71,145,2024-12-15,Completed
72,71,2024-11-14,Completed
73,83,2024-09-09,Completed
74,115,2025-03-05,Cancelled
75,57,2025-07-12,Completed
76,126,2025-08-31,Completed
77,17,2024-11-04,Completed
78,142,2024-12-20,Completed
79,81,2025-08-07,Completed
80,96,2024-11-06,Cancelled
81,32,2025-03-30,Completed
82,58,2024-10-26,Completed
83,7,2025-07-09,Completed
84,87,2025-02-27,Completed
85,24,2025-05-30,Completed
86,22,2024-09-27,Completed
87,125,2025-07-08,Completed
88,125,2025-05-28,Completed
89,2,2024-12-14,Completed
90,128,2025-04-09,Completed
91,19,2025-03-23,Completed
92,75,2024-10-29,Completed
93,93,2024-10-16,Completed
94,135,2024-10-11,Completed
95,131,2024-12-09,Completed
96,40,2025-08-02,Completed
97,83,2025-07-19,Completed
98,71,2025-06-30,Completed
99,20,2025-07-28,Completed
100,116,2024-10-23,Completed
101,113,2025-05-27,Cancelled
102,87,2025-08-14,Returned
103,143,2025-08-14,Completed
104,80,2025-08-02,Completed
105,33,2025-08-10,Cancelled
106,93,2024-09-10,Completed
107,20,2025-01-30,Completed
108,97,2024-11-18,Completed
109,114,2025-07-10,Completed
110,73,2025-03-15,Cancelled
111,142,2024-10-23,Cancelled
112,42,2025-01-18,Completed
113,107,2024-09-28,Completed
114,86,2024-11-14,Completed
115,121,2025-04-18,Returned
116,39,2025-06-08,Returned
117,118,2024-10-03,Completed
118,107,2024-12-05,Completed
119,65,2024-09-09,Completed
120,149,2025-02-18,Completed
121,119,2025-08-23,Completed
122,52,2024-09-23,Completed
123,140,2025-05-01,Completed
124,85,2025-01-18,Completed
125,95,2025-05-24,Completed
126,47,2025-06-07,Completed
127,110,2024-11-25,Completed
128,20,2025-08-10,Completed
129,18,2024-12-30,Completed
130,20,2025-06-21,Completed
131,128,2025-05-24,Completed
132,55,2025-07-11,Completed
133,89,2025-08-30,Completed
134,36,2024-12-31,Completed
135,120,2025-06-10,Completed
136,135,2025-03-30,Completed
137,116,2025-04-27,Cancelled
138,133,2024-11-18,Completed
139,73,2024-10-11,Completed
140,24,2025-05-16,Completed
141,12,2025-07-26,Returned
142,124,2025-01-04,Completed
143,53,2025-02-22,Returned
144,144,2024-10-25,Completed
145,25,2024-09-26,Completed
146,132,2025-04-28,Completed
147,150,2025-02-28,Completed
148,74,2025-06-02,Completed
149,104,2025-03-07,Completed
150,31,2024-11-05,Completed
151,10,2024-11-10,Completed
152,87,2025-05-18,Cancelled
153,150,2025-02-05,Completed
154,38,2025-08-15,Completed
155,81,2025-04-03,Completed
156,123,2025-05-28,Completed
157,124,2024-12-08,Completed
158,82,2025-05-04,Completed
159,74,2024-10-11,Completed
160,28,2025-07-13,Returned
161,14,2024-10-22,Completed
162,123,2025-07-31,Completed
163,10,2024-11-29,Completed
164,10,2024-09-05,Completed
165,135,2025-05-11,Completed
166,4,2025-02-20,Completed
167,103,2025-08-09,Completed
168,99,2024-12-30,Completed
169,16,2025-08-08,Completed
170,35,2025-05-03,Completed
171,136,2025-08-27,Completed
172,52,2025-06-21,Cancelled
173,30,2025-08-15,Completed
174,144,2025-04-25,Completed
175,149,2024-10-08,Completed
176,96,2025-03-15,Completed
177,58,2024-09-02,Completed
178,71,2024-12-06,Completed
179,53,2024-10-05,Completed
180,63,2024-09-23,Completed
181,148,2025-07-04,Completed
182,77,2025-01-19,Completed
183,135,2025-02-11,Completed
184,119,2024-09-30,Cancelled
185,21,2025-04-19,Completed
186,11,2024-10-08,Completed
187,49,2024-10-31,Completed
188,98,2025-04-27,Cancelled
189,26,2025-04-29,Completed
190,38,2024-09-09,Completed
191,87,2025-01-10,Completed
192,135,2024-09-18,Completed
193,18,2025-08-29,Completed
194,16,2025-07-14,Returned
195,74,2024-09-09,Cancelled
196,91,2025-01-15,Completed
197,63,2025-08-23,Completed
198,3,2025-08-26,Completed
199,145,2024-10-19,Cancelled
200,146,2025-05-02,Completed
201,145,2025-08-03,Completed
202,20,2025-02-01,Completed
203,129,2025-02-25,Completed
204,102,2025-02-15,Completed
205,150,2025-08-05,Completed
206,22,2025-01-16,Completed
207,70,2024-10-23,Completed
208,143,2025-05-21,Completed
209,24,2025-07-03,Returned
210,63,2025-06-20,Cancelled
211,78,2025-01-16,Completed
212,124,2024-10-10,Completed
213,102,2025-02-18,Returned
214,81,2024-11-30,Completed
215,30,2025-06-16,Completed
216,18,2025-03-29,Completed
217,97,2024-10-08,Completed
218,64,2025-08-03,Completed
219,26,2025-01-11,Completed
220,129,2024-11-17,Completed
221,22,2024-10-30,Completed
222,25,2025-04-13,Completed
223,43,2025-01-03,Cancelled
224,119,2024-12-28,Completed
225,51,2025-04-19,Returned
226,94,2025-02-14,Completed
227,90,2025-02-28,Completed
228,62,2025-02-04,Completed
229,36,2025-06-22,Completed
230,92,2024-09-05,Completed
231,105,2025-08-17,Completed
232,58,2025-06-03,Completed
233,30,2025-01-16,Cancelled
234,64,2025-01-31,Completed
235,110,2024-11-24,Returned
236,138,2024-11-26,Completed
237,34,2025-01-06,Completed
238,97,2025-04-20,Completed
239,95,2025-04-21,Completed
240,137,2025-03-23,Completed
241,125,2025-02-23,Completed
242,32,2024-11-20,Completed
243,65,2024-10-13,Completed
244,110,2025-08-02,Completed
245,34,2025-07-01,Completed
246,23,2024-10-23,Completed
247,18,2025-05-30,Returned
248,39,2025-03-30,Returned
249,81,2024-11-11,Completed
250,133,2025-07-08,Cancelled
251,62,2025-05-12,Completed
252,19,2025-05-29,Completed
253,121,2024-10-08,Completed
254,16,2025-03-23,Cancelled
255,138,2025-07-13,Completed
256,17,2025-02-06,Completed
257,15,2025-02-06,Completed
258,42,2025-05-13,Completed
259,86,2025-04-08,Completed
260,128,2025-04-22,Cancelled
261,27,2025-06-21,Completed
262,94,2025-03-16,Completed
263,82,2025-01-17,Completed
264,120,2025-01-23,Completed
265,63,2025-04-26,Completed
266,86,2024-09-01,Completed
267,24,2024-09-23,Completed
268,146,2024-10-02,Completed
269,82,2025-04-20,Completed
270,28,2024-11-24,Completed
271,24,2024-11-20,Completed
272,64,2025-03-02,Completed
273,104,2025-04-20,Cancelled
274,32,2024-09-07,Completed
275,150,2025-06-28,Completed
276,33,2024-10-18,Completed
277,147,2025-04-10,Completed
278,39,2024-09-18,Returned
279,23,2025-01-22,Completed
280,5,2025-03-15,Completed
281,8,2025-01-22,Completed
282,57,2025-06-22,Completed
283,91,2025-06-18,Returned
284,10,2024-10-17,Completed
285,52,2024-11-06,Completed
286,29,2025-05-28,Completed
287,26,2025-02-20,Completed
288,144,2025-08-22,Returned
289,46,2024-09-01,Returned
290,20,2024-12-31,Completed
291,18,2025-02-27,Completed
292,108,2024-11-25,Completed
293,19,2024-09-18,Completed
294,88,2024-11-27,Completed
295,8,2025-04-09,Completed
296,68,2025-08-05,Completed
297,14,2025-03-04,Completed
298,21,2025-05-01,Completed
299,100,2024-12-04,Completed
300,145,2024-10-02,Completed
301,106,2025-06-29,Completed
302,122,2025-06-21,Completed
303,38,2024-11-01,Completed
304,21,2025-08-16,Completed
305,100,2025-06-12,Completed
306,29,2025-04-01,Completed
307,99,2025-08-02,Completed
308,10,2025-03-22,Completed
309,78,2025-02-07,Completed
310,23,2024-12-06,Completed
311,41,2024-10-04,Completed
312,93,2025-08-27,Completed
313,96,2025-05-09,Returned
314,99,2024-09-26,Completed
315,6,2025-08-16,Completed
316,109,2025-03-12,Completed
317,2,2025-05-20,Completed
318,71,2025-01-12,Completed
319,36,2024-09-14,Completed
320,49,2025-02-23,Completed
321,144,2024-12-03,Completed
322,108,2025-02-17,Completed
323,19,2025-04-30,Completed
324,14,2024-11-17,Completed
325,47,2024-10-12,Completed
326,148,2024-11-21,Completed
327,104,2025-04-08,Completed
328,64,2024-12-25,Completed
329,12,2025-01-31,Completed
330,58,2024-11-07,Completed
331,97,2025-07-25,Completed
332,13,2025-08-20,Completed
333,78,2025-04-04,Completed
334,30,2024-10-25,Completed
335,76,2024-11-22,Completed
336,127,2024-11-16,Completed
337,117,2025-01-30,Completed
338,25,2024-09-24,Completed
339,24,2025-03-10,Completed
340,123,2025-04-04,Completed
341,41,2024-10-24,Completed
342,125,2024-10-28,Completed
343,145,2024-12-24,Completed
344,124,2025-02-25,Completed
345,127,2024-11-24,Completed
346,104,2024-12-30,Completed
347,104,2025-03-31,Completed
348,131,2025-06-15,Completed
349,94,2025-04-20,Completed
350,75,2025-06-08,Cancelled
351,105,2024-10-25,Completed
352,87,2024-10-26,Completed
353,130,2024-11-08,Completed
354,124,2025-05-19,Completed
355,83,2025-05-17,Completed
356,132,2025-02-01,Cancelled
357,34,2025-08-30,Completed
358,137,2025-01-25,Completed
359,14,2025-08-10,Completed
360,16,2025-08-20,Completed
361,58,2025-07-29,Cancelled
362,142,2024-09-28,Completed
363,140,2025-07-06,Completed
364,45,2025-05-22,Completed
365,120,2025-08-30,Completed
366,78,2025-05-10,Returned
367,107,2025-06-06,Cancelled
368,76,2024-12-21,Returned
369,83,2025-03-15,Completed
370,50,2025-02-12,Cancelled
371,138,2025-06-01,Completed
372,109,2024-10-24,Completed
373,46,2025-01-07,Cancelled
374,105,2025-03-18,Completed
375,17,2025-06-27,Completed
376,78,2025-07-08,Completed
377,57,2024-11-09,Completed
378,11,2024-09-03,Returned
379,48,2024-12-23,Returned
380,141,2024-10-08,Completed
381,125,2025-02-17,Completed
382,82,2025-05-07,Completed
383,64,2024-12-23,Completed
384,125,2025-06-10,Completed
385,20,2024-10-09,Completed
386,142,2025-01-12,Cancelled
387,119,2025-05-15,Cancelled
388,129,2024-09-06,Completed
389,38,2025-05-06,Completed
390,68,2025-03-09,Completed
391,121,2025-04-21,Completed
392,71,2025-01-13,Returned
393,65,2025-03-12,Completed
394,132,2025-07-27,Completed
395,59,2025-04-01,Completed
396,54,2025-06-30,Completed
397,11,2025-06-21,Completed
398,104,2025-07-04,Returned
399,121,2025-05-05,Completed
400,68,2024-11-25,Completed
401,39,2025-07-08,Completed
402,124,2025-08-04,Completed
403,12,2025-08-24,Cancelled
404,26,2025-04-06,Completed
405,49,2024-09-03,Completed
406,81,2025-03-29,Completed
407,65,2025-01-12,Cancelled
408,46,2025-03-09,Cancelled
409,59,2025-04-17,Completed
410,141,2025-07-12,Completed
411,112,2024-10-16,Completed
412,134,2025-01-25,Returned
413,3,2024-12-13,Cancelled
414,10,2025-03-04,Completed
415,91,2025-08-09,Completed
416,89,2025-01-20,Completed
417,105,2025-05-18,Completed
418,66,2025-06-03,Returned
419,8,2025-05-05,Completed
420,91,2025-05-23,Cancelled
421,74,2024-10-18,Completed
422,47,2025-08-16,Completed
423,28,2024-11-01,Completed
424,47,2025-05-20,Completed
425,45,2025-04-23,Completed
426,48,2025-06-08,Completed
427,128,2025-04-06,Completed
428,26,2025-01-17,Completed
429,137,2025-02-09,Completed
430,66,2025-05-02,Completed
431,51,2025-06-23,Returned
432,115,2024-10-11,Completed
433,147,2025-03-27,Completed
434,82,2025-08-01,Completed
435,106,2024-11-25,Completed
436,21,2024-12-17,Completed
437,40,2024-10-14,Completed
438,44,2024-09-15,Completed
439,139,2024-11-30,Returned
440,106,2025-01-12,Completed
441,123,2025-02-01,Completed
442,42,2025-07-28,Completed
443,73,2025-07-30,Cancelled
444,29,2025-07-24,Completed
445,27,2025-01-23,Completed
446,127,2024-12-21,Completed
447,69,2025-03-20,Completed
448,64,2024-09-18,Completed
449,141,2025-05-25,Completed
450,61,2025-07-22,Completed
451,11,2025-06-25,Completed
452,87,2025-07-18,Completed
453,28,2024-11-04,Completed
454,97,2025-03-03,Completed
455,49,2025-06-18,Completed
456,40,2025-04-19,Completed
457,5,2025-07-15,Completed
458,135,2025-08-16,Completed
459,25,2025-05-26,Completed
460,28,2025-05-07,Completed
461,126,2025-05-28,Returned
462,126,2024-10-11,Completed
463,95,2025-08-29,Completed
464,60,2025-05-31,Completed
465,143,2025-04-01,Completed
466,87,2025-08-03,Completed
467,145,2025-06-07,Completed
468,133,2024-11-09,Completed
469,6,2025-08-20,Completed
470,68,2025-03-07,Returned
471,146,2024-12-21,Completed
472,77,2024-09-20,Returned
473,3,2025-07-22,Completed
474,139,2025-06-17,Completed
475,148,2025-05-17,Completed
476,22,2025-05-02,Returned
477,129,2025-04-11,Completed
478,51,2025-06-15,Returned
479,23,2024-10-28,Completed
480,90,2025-07-13,Completed
481,40,2024-10-14,Completed
482,4,2025-02-23,Completed
483,53,2025-06-07,Cancelled
484,135,2024-09-23,Completed
485,14,2025-04-27,Completed
486,28,2024-09-10,Completed
487,129,2025-04-23,Cancelled
488,136,2025-02-04,Completed
489,129,2025-01-20,Completed
490,23,2025-03-15,Cancelled
491,110,2025-02-07,Returned
492,36,2025-02-06,Cancelled
493,41,2025-02-10,Completed
494,82,2025-03-31,Completed
495,69,2025-07-08,Returned
496,35,2025-05-16,Returned
497,105,2024-09-08,Completed
498,118,2025-01-05,Completed
499,10,2025-05-25,Completed
500,49,2025-01-28,Completed
501,37,2025-04-26,Completed
502,35,2025-03-21,Completed
503,24,2025-01-07,Completed
504,22,2025-05-27,Completed
505,42,2024-11-14,Completed
506,74,2025-07-18,Completed
507,65,2024-09-07,Completed
508,21,2025-07-05,Returned
509,143,2024-12-16,Completed
510,9,2025-08-08,Returned
511,147,2025-06-15,Completed
512,17,2025-01-28,Completed
513,54,2025-08-23,Completed
514,23,2025-05-06,Returned
515,145,2025-05-13,Cancelled
516,120,2025-07-18,Completed
517,3,2025-07-25,Completed
518,30,2025-08-18,Completed
519,122,2024-09-19,Completed
520,143,2025-06-02,Completed
521,87,2025-03-12,Cancelled
522,79,2025-08-28,Completed
523,61,2025-03-10,Completed
524,114,2025-05-18,Completed
525,133,2025-08-13,Completed
526,2,2025-02-07,Completed
527,134,2025-08-04,Completed
528,52,2024-12-08,Completed
529,4,2025-07-16,Cancelled
530,90,2025-06-09,Completed
531,139,2025-04-16,Completed
532,14,2024-10-15,Completed
533,120,2025-06-18,Completed
534,120,2025-04-29,Completed
535,84,2025-04-21,Completed
536,123,2025-04-25,Completed
537,19,2025-02-02,Cancelled
538,54,2025-08-22,Returned
539,125,2024-10-29,Returned
540,98,2025-02-15,Completed
541,1,2024-11-15,Completed
542,112,2025-02-24,Completed
543,95,2025-06-09,Completed
544,61,2025-04-10,Returned
545,49,2025-06-12,Completed
546,5,2024-11-13,Completed
547,131,2025-04-06,Cancelled
548,128,2024-12-31,Cancelled
549,95,2024-10-28,Returned
550,121,2025-07-20,Completed
551,85,2025-04-04,Completed
552,67,2024-10-02,Completed
553,125,2024-10-13,Completed
554,72,2025-01-19,Completed
555,39,2025-08-04,Completed
556,22,2024-11-14,Returned
557,43,2024-12-17,Returned
558,78,2025-05-02,Cancelled
559,136,2025-04-11,Completed
560,91,2025-04-10,Returned
561,62,2025-08-11,Returned
562,18,2024-09-07,Completed
563,57,2025-01-24,Completed
564,56,2025-07-04,Completed
565,145,2024-12-04,Completed
566,71,2025-04-07,Completed
567,67,2025-01-14,Completed
568,111,2024-12-21,Returned
569,9,2024-10-08,Completed
570,100,2025-01-15,Completed
571,139,2024-12-25,Completed
572,94,2025-06-01,Completed
573,46,2025-06-11,Completed
574,49,2024-11-11,Completed
575,79,2025-05-14,Cancelled
576,31,2024-12-18,Cancelled
577,5,2025-04-30,Returned
578,4,2024-11-28,Completed
579,57,2024-10-03,Completed
