payment_id,order_id,payment_method,amount,payment_date
1,1,Card,10092.00,2025-04-10
2,2,UPI,3795.00,2025-08-25
3,3,COD,798.00,2025-02-02
4,4,NetBanking,9691.00,2025-07-10
5,5,NetBanking,3497.00,2024-10-19
6,6,UPI,1197.00,2025-04-22
7,7,COD,2646.00,2025-04-06
8,9,Card,20692.00,2025-01-06
9,10,UPI,5796.00,2024-10-14
10,11,UPI,3945.00,2025-04-03
11,12,COD,3998.00,2025-03-15
12,13,UPI,4396.00,2025-06-08
13,14,COD,3144.00,2025-02-20
14,15,UPI,1899.00,2025-08-07
15,16,Card,5094.00,2025-01-13
16,17,UPI,1999.00,2025-05-01
17,18,UPI,3898.00,2024-09-17
18,19,UPI,5846.00,2024-12-23
19,20,NetBanking,21789.00,2025-06-22
20,22,Card,13194.00,2025-07-25
21,23,NetBanking,11193.00,2025-05-08
22,24,Card,9792.00,2025-02-22
23,26,Card,10792.00,2025-06-12
24,27,Card,12893.00,2025-03-09
25,28,NetBanking,11594.00,2024-11-02
26,29,Card,1598.00,2025-07-03
27,30,UPI,6896.00,2025-02-03
28,31,UPI,4796.00,2024-10-24
29,32,NetBanking,999.00,2025-03-25
30,33,NetBanking,2097.00,2024-10-16
31,34,UPI,7992.00,2025-05-28
32,35,UPI,17496.00,2025-08-05
33,36,NetBanking,9493.00,2025-04-21
34,37,UPI,1798.00,2025-04-06
35,38,Card,10542.00,2025-07-03
36,39,NetBanking,9893.00,2025-06-04
37,40,COD,4998.00,2025-08-13
38,41,UPI,9191.00,2024-12-02
39,42,UPI,5695.00,2025-03-31
40,43,UPI,7190.00,2025-05-22
41,44,UPI,9993.00,2025-06-09
42,45,Card,9893.00,2025-06-12
43,46,UPI,9941.00,2025-08-30
44,47,COD,7492.00,2025-01-22
45,49,UPI,9191.00,2025-03-17
46,50,UPI,5045.00,2025-05-17
47,51,COD,7692.00,2025-04-30
48,52,Card,14997.00,2024-09-21
49,53,Card,1198.00,2024-10-17
50,54,COD,1198.00,2024-09-25
51,56,Card,7342.00,2024-11-14
52,57,COD,2695.00,2025-07-25
53,58,UPI,5994.00,2025-03-05
54,59,UPI,11391.00,2025-01-27
55,60,Card,6245.00,2025-07-20
56,61,Card,2147.00,2024-11-30
57,62,COD,899.00,2024-10-31
58,63,NetBanking,15739.00,2025-03-08
59,64,NetBanking,3598.00,2025-07-24
60,65,COD,4995.00,2025-02-17
61,66,UPI,798.00,2024-11-11
62,67,COD,4642.00,2025-06-05
63,68,Card,7597.00,2024-09-19
64,69,UPI,1198.00,2025-07-28
65,70,UPI,1998.00,2024-10-17
66,71,UPI,3197.00,2024-12-17
67,72,NetBanking,10996.00,2024-11-14
68,73,COD,5593.00,2024-09-09
69,75,UPI,9094.00,2025-07-14
70,76,UPI,1798.00,2025-09-02
71,77,UPI,4092.00,2024-11-04
72,78,COD,10342.00,2024-12-21
73,79,UPI,2497.00,2025-08-08
74,81,COD,5992.00,2025-03-30
75,82,NetBanking,13092.00,2024-10-28
76,83,Card,4998.00,2025-07-11
77,84,UPI,1498.00,2025-03-01
78,85,NetBanking,10291.00,2025-06-01
79,86,COD,3796.00,2024-09-29
80,87,NetBanking,13492.00,2025-07-10
81,88,UPI,3598.00,2025-05-30
82,89,UPI,3396.00,2024-12-14
83,90,Card,6594.00,2025-04-11
84,91,COD,16590.00,2025-03-25
85,92,COD,1299.00,2024-10-31
86,93,COD,9998.00,2024-10-18
87,94,NetBanking,11493.00,2024-10-11
88,95,NetBanking,11496.00,2024-12-09
89,96,NetBanking,2844.00,2025-08-03
90,97,Card,5196.00,2025-07-21
91,98,Card,3546.00,2025-07-01
92,99,UPI,12090.00,2025-07-28
93,100,COD,2499.00,2024-10-23
94,102,UPI,1599.00,2025-08-15
95,103,Card,8693.00,2025-08-14
96,104,Card,3495.00,2025-08-04
97,106,UPI,7296.00,2024-09-10
98,107,NetBanking,4797.00,2025-01-30
99,108,UPI,4097.00,2024-11-19
100,109,COD,13891.00,2025-07-11
101,112,UPI,3697.00,2025-01-19
102,113,UPI,11296.00,2024-09-29
103,114,UPI,1198.00,2024-11-16
104,115,UPI,899.00,2025-04-19
105,116,NetBanking,8895.00,2025-06-10
106,117,NetBanking,14892.00,2024-10-03
107,118,Card,6794.00,2024-12-06
108,119,UPI,1999.00,2024-09-11
109,120,UPI,5997.00,2025-02-19
110,121,Card,4095.00,2025-08-23
111,122,COD,2598.00,2024-09-25
112,123,UPI,1598.00,2025-05-02
113,124,COD,6295.00,2025-01-19
114,125,NetBanking,1899.00,2025-05-25
115,126,NetBanking,6193.00,2025-06-08
116,127,UPI,11893.00,2024-11-27
117,128,UPI,15292.00,2025-08-10
118,129,COD,6993.00,2024-12-31
119,130,UPI,2797.00,2025-06-23
120,131,COD,2398.00,2025-05-26
121,132,Card,8192.00,2025-07-11
122,133,UPI,7794.00,2025-08-30
123,134,Card,1047.00,2025-01-02
124,135,COD,2598.00,2025-06-11
125,136,UPI,998.00,2025-04-01
126,138,NetBanking,5796.00,2024-11-19
127,139,NetBanking,3695.00,2024-10-13
128,140,UPI,6096.00,2025-05-16
129,141,Card,12492.00,2025-07-27
130,142,COD,5145.00,2025-01-05
131,143,NetBanking,4597.00,2025-02-23
132,144,UPI,6096.00,2024-10-25
133,145,COD,21391.00,2024-09-26
134,146,UPI,11593.00,2025-04-28
135,147,COD,1198.00,2025-03-02
136,148,Card,1899.00,2025-06-03
137,149,Card,4842.00,2025-03-09
138,150,UPI,10039.00,2024-11-05
139,151,Card,6542.00,2024-11-12
140,153,COD,10490.00,2025-02-07
141,154,COD,2499.00,2025-08-15
142,155,Card,4692.00,2025-04-05
143,156,Card,13392.00,2025-05-30
144,157,COD,4793.00,2024-12-10
145,158,UPI,6595.00,2025-05-05
146,159,UPI,8689.00,2024-10-12
147,160,UPI,17994.00,2025-07-13
148,161,COD,2595.00,2024-10-23
149,162,NetBanking,6093.00,2025-07-31
150,163,Card,4597.00,2024-12-01
151,164,NetBanking,3198.00,2024-09-06
152,165,UPI,13091.00,2025-05-12
153,166,UPI,6795.00,2025-02-21
154,167,Card,1297.00,2025-08-09
155,168,UPI,7393.00,2025-01-01
156,169,UPI,12890.00,2025-08-08
157,170,COD,4042.00,2025-05-05
158,171,NetBanking,2499.00,2025-08-29
159,173,UPI,7892.00,2025-08-17
160,174,UPI,1198.00,2025-04-25
161,175,COD,6894.00,2024-10-08
162,176,UPI,6793.00,2025-03-17
163,177,UPI,3246.00,2024-09-03
164,178,UPI,2097.00,2024-12-06
165,179,UPI,3897.00,2024-10-07
166,180,Card,9291.00,2024-09-25
167,181,COD,3894.00,2025-07-04
168,182,COD,2697.00,2025-01-21
169,183,UPI,6393.00,2025-02-12
170,185,COD,799.00,2025-04-20
171,186,UPI,1996.00,2024-10-08
172,187,Card,2496.00,2024-11-01
173,189,UPI,1997.00,2025-05-01
174,190,NetBanking,6393.00,2024-09-10
175,191,UPI,10641.00,2025-01-12
176,192,UPI,2998.00,2024-09-18
177,193,Card,2097.00,2025-08-30
178,194,NetBanking,9992.00,2025-07-15
179,196,NetBanking,698.00,2025-01-16
180,197,UPI,7593.00,2025-08-24
181,198,Card,798.00,2025-08-28
182,200,NetBanking,3897.00,2025-05-03
183,201,COD,10296.00,2025-08-03
184,202,UPI,5595.00,2025-02-01
185,203,Card,1899.00,2025-02-25
186,204,UPI,7393.00,2025-02-16
187,205,UPI,599.00,2025-08-07
188,206,Card,3295.00,2025-01-17
189,207,NetBanking,4998.00,2024-10-24
190,208,NetBanking,2999.00,2025-05-22
191,209,NetBanking,4395.00,2025-07-05
192,211,Card,5596.00,2025-01-17
193,212,UPI,11196.00,2024-10-11
194,213,COD,12990.00,2025-02-18
195,214,Card,11994.00,2024-12-01
196,215,Card,9546.00,2025-06-17
197,216,COD,15795.00,2025-03-29
198,217,UPI,10938.00,2024-10-08
199,218,UPI,5196.00,2025-08-03
200,219,NetBanking,3296.00,2025-01-13
201,220,COD,299.00,2024-11-18
202,221,COD,6294.00,2024-10-31
203,222,UPI,6295.00,2025-04-14
204,224,NetBanking,6897.00,2024-12-30
205,225,UPI,5692.00,2025-04-21
206,226,UPI,13690.00,2025-02-16
207,227,UPI,2096.00,2025-03-01
208,228,NetBanking,2845.00,2025-02-05
209,229,UPI,7094.00,2025-06-24
210,230,COD,3594.00,2024-09-07
211,231,Card,7593.00,2025-08-17
212,232,NetBanking,2844.00,2025-06-03
213,234,Card,7994.00,2025-02-02
214,235,Card,4095.00,2024-11-26
215,236,UPI,2996.00,2024-11-27
